observation_date,Brezilya_SURETIM
03-01-08,110.71230
04-01-08,110.76830
05-01-08,111.43000
06-01-08,113.13880
07-01-08,113.53840
08-01-08,112.24070
09-01-08,113.72970
10-01-08,110.35900
11-01-08,103.82280
12-01-08,92.22306
01-01-09,94.19257
02-01-09,96.44775
03-01-09,96.85699
04-01-09,98.13234
05-01-09,99.40399
06-01-09,100.70900
07-01-09,101.95270
08-01-09,103.64780
09-01-09,105.17780
10-01-09,107.34650
11-01-09,108.75980
12-01-09,109.19250
01-01-10,110.80450
02-01-10,110.65530
03-01-10,113.05800
04-01-10,113.51250
05-01-10,113.28860
06-01-10,112.75430
07-01-10,112.06230
08-01-10,111.75310
09-01-10,112.03360
10-01-10,111.72410
11-01-10,112.44140
12-01-10,112.96020
01-01-11,113.36820
02-01-11,114.61160
03-01-11,115.23770
04-01-11,112.16400
05-01-11,115.63300
06-01-11,113.42660
07-01-11,113.27820
08-01-11,112.24390
09-01-11,110.52980
10-01-11,109.44080
11-01-11,109.90750
12-01-11,112.77460
01-01-12,108.02420
02-01-12,108.97130
03-01-12,108.26620
04-01-12,108.28940
05-01-12,108.90470
06-01-12,109.04770
07-01-12,110.59220
08-01-12,112.73420
09-01-12,110.79260
10-01-12,112.33710
11-01-12,110.84220
12-01-12,111.55650
01-01-13,112.61600
02-01-13,109.50800
03-01-13,111.50920
04-01-13,113.40760
05-01-13,113.06380
06-01-13,113.68780
07-01-13,112.92800
08-01-13,113.14210
09-01-13,113.79680
10-01-13,112.55630
11-01-13,113.13630
12-01-13,109.11650
01-01-14,111.02030
02-01-14,111.43100
03-01-14,111.23240
04-01-14,110.20510
05-01-14,109.13400
06-01-14,105.91520
07-01-14,108.66330
08-01-14,109.01590
09-01-14,109.23740
10-01-14,109.29190
11-01-14,108.47270
12-01-14,105.24670
01-01-15,105.90790
02-01-15,105.06030
03-01-15,104.54640
04-01-15,102.51570
05-01-15,101.47100
06-01-15,100.51510
07-01-15,98.74607
08-01-15,99.26775
09-01-15,97.01163
10-01-15,96.80869
11-01-15,95.14876
12-01-15,93.69257
01-01-16,94.58104
02-01-16,93.63227
03-01-16,94.05385
04-01-16,94.08420
05-01-16,94.35034
06-01-16,93.31910
07-01-16,93.87350
08-01-16,92.07238
09-01-16,93.05444
10-01-16,91.79579
11-01-16,92.69083
12-01-16,94.17163
01-01-17,94.92882
02-01-17,96.08286
03-01-17,94.36427
04-01-17,94.49022
05-01-17,94.83546
06-01-17,95.61507
07-01-17,95.90186
08-01-17,95.95172
09-01-17,96.28890
10-01-17,97.19460
11-01-17,97.59619
12-01-17,100.25480
01-01-18,97.90735
02-01-18,97.43729
03-01-18,98.70132
04-01-18,99.07170
05-01-18,88.30508
06-01-18,99.16415
07-01-18,98.92871
08-01-18,98.01485
09-01-18,95.39836
10-01-18,96.58015
11-01-18,96.48142
12-01-18,96.40276
01-01-19,95.99949
02-01-19,96.10410
03-01-19,95.77521
04-01-19,96.17184
05-01-19,96.10246
06-01-19,95.30856
07-01-19,94.73209
08-01-19,95.74136
09-01-19,95.79415
10-01-19,97.93734
11-01-19,95.64376
12-01-19,94.33081
01-01-20,95.67796
02-01-20,96.33231
03-01-20,88.62179
04-01-20,71.20509
05-01-20,76.87204
06-01-20,84.51239
07-01-20,92.23799
08-01-20,95.15757
09-01-20,97.77293
10-01-20,99.16978
11-01-20,99.62682
12-01-20,99.11588
01-01-21,100.00990
02-01-21,98.36727
03-01-21,95.95233
04-01-21,94.35103
05-01-21,95.60423
06-01-21,95.18960
07-01-21,93.97907
08-01-21,93.98242
09-01-21,93.80889
10-01-21,93.27248
11-01-21,93.25758
12-01-21,94.53598
01-01-22,94.68154
02-01-22,95.29421
03-01-22,94.38247
04-01-22,94.91869
05-01-22,94.58540
06-01-22,94.57279
07-01-22,95.76403
08-01-22,94.26826
09-01-22,93.22560
10-01-22,94.46021
11-01-22,94.34294
12-01-22,94.08264
01-01-23,94.23082
02-01-23,94.03234
03-01-23,94.61152
04-01-23,94.18405
05-01-23,94.60070
06-01-23,94.61858
07-01-23,94.27485
08-01-23,94.70574
09-01-23,94.89288
10-01-23,94.99277
11-01-23,95.67924
12-01-23,96.83728
01-01-24,95.73234
02-01-24,95.85213
03-01-24,96.76269
