Ülke,Tarih,ISSIZLIK,TUFE,SURETIM,ISFAIZ
ABD,2008-03-01,5.1,213.448,101.5336,2.79
ABD,2008-04-01,5.0,213.942,100.8785,2.85
ABD,2008-05-01,5.4,215.208,100.2674,2.66
ABD,2008-06-01,5.6,217.463,100.0335,2.76
ABD,2008-07-01,5.8,219.016,99.676,2.79
ABD,2008-08-01,6.1,218.69,98.1111,2.79
ABD,2008-09-01,6.1,218.877,93.7895,3.59
ABD,2008-10-01,6.5,216.995,94.7219,4.32
ABD,2008-11-01,6.8,213.153,93.4715,2.36
ABD,2008-12-01,7.3,211.398,90.8357,1.77
ABD,2009-01-01,7.8,211.933,88.57,1.02
ABD,2009-02-01,8.3,212.705,88.031,1.16
ABD,2009-03-01,8.7,212.495,86.6528,1.07
ABD,2009-04-01,9.0,212.709,85.9344,0.89
ABD,2009-05-01,9.4,213.022,85.0665,0.57
ABD,2009-06-01,9.5,214.79,84.7459,0.39
ABD,2009-07-01,9.5,214.726,85.7027,0.35
ABD,2009-08-01,9.6,215.445,86.6426,0.3
ABD,2009-09-01,9.8,215.861,87.4063,0.25
ABD,2009-10-01,10.0,216.509,87.6419,0.24
ABD,2009-11-01,9.9,217.234,88.0221,0.21
ABD,2009-12-01,9.9,217.347,88.3793,0.22
ABD,2010-01-01,9.8,217.488,89.3426,0.2
ABD,2010-02-01,9.8,217.281,89.6779,0.19
ABD,2010-03-01,9.9,217.353,90.2928,0.23
ABD,2010-04-01,9.9,217.403,90.5991,0.3
ABD,2010-05-01,9.6,217.29,91.823,0.45
ABD,2010-06-01,9.4,217.199,91.9928,0.52
ABD,2010-07-01,9.4,217.605,92.3421,0.41
ABD,2010-08-01,9.5,217.923,92.6805,0.32
ABD,2010-09-01,9.5,218.275,92.9537,0.28
ABD,2010-10-01,9.4,219.035,92.6903,0.27
ABD,2010-11-01,9.8,219.59,92.7709,0.27
ABD,2010-12-01,9.3,220.472,93.6787,0.3
ABD,2011-01-01,9.1,221.187,93.4814,0.29
ABD,2011-02-01,9.0,221.898,93.1102,0.28
ABD,2011-03-01,9.0,223.046,94.0788,0.28
ABD,2011-04-01,9.1,224.093,93.7749,0.23
ABD,2011-05-01,9.0,224.806,93.888,0.21
ABD,2011-06-01,9.1,224.806,94.172,0.22
ABD,2011-07-01,9.0,225.395,94.636,0.24
ABD,2011-08-01,9.0,226.106,95.2749,0.29
ABD,2011-09-01,9.0,226.597,95.1961,0.33
ABD,2011-10-01,8.8,226.75,95.8568,0.37
ABD,2011-11-01,8.6,227.169,95.8485,0.41
ABD,2011-12-01,8.5,227.223,96.3571,0.49
ABD,2012-01-01,8.3,227.842,96.9318,0.4
ABD,2012-02-01,8.3,228.329,97.2435,0.3
ABD,2012-03-01,8.2,228.807,96.74,0.29
ABD,2012-04-01,8.2,229.187,97.4359,0.29
ABD,2012-05-01,8.2,228.713,97.6609,0.29
ABD,2012-06-01,8.2,228.524,97.6663,0.32
ABD,2012-07-01,8.2,228.59,97.8713,0.3
ABD,2012-08-01,8.1,229.918,97.4525,0.26
ABD,2012-09-01,7.8,231.015,97.381,0.24
ABD,2012-10-01,7.8,231.638,97.7193,0.23
ABD,2012-11-01,7.7,231.249,98.0777,0.23
ABD,2012-12-01,7.9,231.221,98.3101,0.24
ABD,2013-01-01,8.0,231.679,98.3342,0.23
ABD,2013-02-01,7.7,232.937,98.7941,0.22
ABD,2013-03-01,7.5,232.282,99.1921,0.21
ABD,2013-04-01,7.6,231.797,99.1065,0.2
ABD,2013-05-01,7.5,231.893,99.1839,0.2
ABD,2013-06-01,7.5,232.445,99.3897,0.19
ABD,2013-07-01,7.3,232.9,99.0814,0.14
ABD,2013-08-01,7.2,233.456,99.6543,0.12
ABD,2013-09-01,7.2,233.544,100.161,0.11
ABD,2013-10-01,7.2,233.669,100.082,0.12
ABD,2013-11-01,6.9,234.1,100.3158,0.12
ABD,2013-12-01,6.7,234.719,100.5175,0.14
ABD,2014-01-01,6.6,235.288,100.1599,0.12
ABD,2014-02-01,6.7,235.547,100.9168,0.13
ABD,2014-03-01,6.7,236.028,101.8942,0.12
ABD,2014-04-01,6.2,236.468,101.9928,0.12
ABD,2014-05-01,6.3,236.918,102.3836,0.11
ABD,2014-06-01,6.1,237.231,102.735,0.11
ABD,2014-07-01,6.2,237.498,102.9632,0.13
ABD,2014-08-01,6.1,237.46,102.7688,0.13
ABD,2014-09-01,5.9,237.477,103.0641,0.12
ABD,2014-10-01,5.7,237.43,103.0764,0.12
ABD,2014-11-01,5.8,236.983,103.7126,0.13
ABD,2014-12-01,5.6,236.252,103.7044,0.15
ABD,2015-01-01,5.7,234.747,102.8905,0.16
ABD,2015-02-01,5.5,235.342,102.2335,0.15
ABD,2015-03-01,5.4,235.976,101.8914,0.14
ABD,2015-04-01,5.4,236.222,101.3355,0.13
ABD,2015-05-01,5.6,237.001,100.8883,0.15
ABD,2015-06-01,5.3,237.657,100.571,0.18
ABD,2015-07-01,5.2,238.034,101.2228,0.19
ABD,2015-08-01,5.1,238.033,101.0367,0.26
ABD,2015-09-01,5.0,237.498,100.7547,0.27
ABD,2015-10-01,5.0,237.733,100.2675,0.25
ABD,2015-11-01,5.1,238.017,99.5298,0.3
ABD,2015-12-01,5.0,237.761,99.0417,0.54
ABD,2016-01-01,4.8,237.652,99.5607,0.57
ABD,2016-02-01,4.9,237.336,99.0445,0.54
ABD,2016-03-01,5.0,238.08,98.3096,0.55
ABD,2016-04-01,5.1,238.992,98.6421,0.55
ABD,2016-05-01,4.8,239.557,98.4184,0.57
ABD,2016-06-01,4.9,240.222,98.8833,0.55
ABD,2016-07-01,4.8,240.101,98.9992,0.62
ABD,2016-08-01,4.9,240.545,98.85,0.73
ABD,2016-09-01,5.0,241.176,98.7457,0.75
ABD,2016-10-01,4.9,241.741,98.7611,0.72
ABD,2016-11-01,4.7,242.026,98.3491,0.71
ABD,2016-12-01,4.7,242.637,99.0214,0.87
ABD,2017-01-01,4.7,243.618,98.7611,0.9
ABD,2017-02-01,4.6,244.006,98.3646,0.87
ABD,2017-03-01,4.4,243.892,99.0137,0.98
ABD,2017-04-01,4.4,244.193,100.0224,1.03
ABD,2017-05-01,4.4,244.004,100.1408,1.05
ABD,2017-06-01,4.3,244.163,100.3471,1.16
ABD,2017-07-01,4.3,244.243,100.1068,1.22
ABD,2017-08-01,4.4,245.183,99.6925,1.25
ABD,2017-09-01,4.3,246.435,99.7954,1.25
ABD,2017-10-01,4.2,246.626,101.0247,1.26
ABD,2017-11-01,4.2,247.284,101.2664,1.32
ABD,2017-12-01,4.1,247.805,101.4644,1.54
ABD,2018-01-01,4.0,248.859,101.4625,1.63
ABD,2018-02-01,4.1,249.529,101.7085,1.78
ABD,2018-03-01,4.0,249.577,102.2067,2.08
ABD,2018-04-01,4.0,250.227,103.3329,2.2
ABD,2018-05-01,3.8,250.792,102.4024,2.16
ABD,2018-06-01,4.0,251.018,103.198,2.19
ABD,2018-07-01,3.8,251.214,103.3646,2.17
ABD,2018-08-01,3.8,251.663,104.0327,2.19
ABD,2018-09-01,3.7,252.182,104.1004,2.24
ABD,2018-10-01,3.8,252.772,103.9856,2.37
ABD,2018-11-01,3.8,252.594,104.0681,2.56
ABD,2018-12-01,3.9,252.767,104.0936,2.69
ABD,2019-01-01,4.0,252.561,103.4021,2.59
ABD,2019-02-01,3.8,253.319,102.8371,2.49
ABD,2019-03-01,3.8,254.277,102.8757,2.48
ABD,2019-04-01,3.7,255.233,102.274,2.47
ABD,2019-05-01,3.6,255.296,102.392,2.44
ABD,2019-06-01,3.6,255.213,102.4375,2.3
ABD,2019-07-01,3.7,255.802,101.9408,2.22
ABD,2019-08-01,3.6,256.036,102.639,2.06
ABD,2019-09-01,3.5,256.43,102.2917,2.03
ABD,2019-10-01,3.6,257.155,101.4281,1.88
ABD,2019-11-01,3.6,257.879,101.9372,1.77
ABD,2019-12-01,3.6,258.63,101.7003,1.76
ABD,2020-01-01,3.6,259.127,101.0338,1.65
ABD,2020-02-01,3.5,259.25,101.3735,1.59
ABD,2020-03-01,4.4,258.076,97.4078,1.35
ABD,2020-04-01,14.8,256.032,84.5619,
ABD,2020-05-01,13.2,255.802,85.9604,0.17
ABD,2020-06-01,11.0,257.042,91.5934,0.2
ABD,2020-07-01,10.2,258.352,95.0256,0.18
ABD,2020-08-01,8.4,259.316,95.9549,0.15
ABD,2020-09-01,7.8,259.997,95.9669,0.13
ABD,2020-10-01,6.9,260.319,96.7394,0.12
ABD,2020-11-01,6.7,260.911,97.0816,0.16
ABD,2020-12-01,6.7,262.045,98.363,0.17
ABD,2021-01-01,6.4,262.687,98.8822,
ABD,2021-02-01,6.2,263.579,95.6149,
ABD,2021-03-01,6.1,264.961,98.3856,
ABD,2021-04-01,6.1,266.614,98.5587,
ABD,2021-05-01,5.8,268.383,99.4333,
ABD,2021-06-01,5.9,270.654,99.7987,
ABD,2021-07-01,5.4,271.903,100.2519,
ABD,2021-08-01,5.1,272.676,100.0437,
ABD,2021-09-01,4.7,273.91,98.8579,
ABD,2021-10-01,4.5,276.55,100.1861,
ABD,2021-11-01,4.1,278.919,100.8654,
ABD,2021-12-01,3.9,280.845,100.5726,
ABD,2022-01-01,4.0,282.543,100.1856,
ABD,2022-02-01,3.9,284.5,100.8064,
ABD,2022-03-01,3.7,287.674,101.3907,
ABD,2022-04-01,3.7,288.561,101.44,
ABD,2022-05-01,3.6,291.298,101.3335,
ABD,2022-06-01,3.6,294.957,101.018,
ABD,2022-07-01,3.5,294.913,101.223,
ABD,2022-08-01,3.6,295.097,101.0963,
ABD,2022-09-01,3.5,296.349,101.2918,
ABD,2022-10-01,3.6,298.007,101.2529,
ABD,2022-11-01,3.6,298.786,100.9552,
ABD,2022-12-01,3.5,298.832,99.7664,
ABD,2023-01-01,3.5,300.42,100.505,
ABD,2023-02-01,3.6,301.45,100.6416,
ABD,2023-03-01,3.5,301.821,101.0205,
ABD,2023-04-01,3.4,302.845,101.253,
ABD,2023-05-01,3.6,303.334,100.9286,
ABD,2023-06-01,3.6,304.014,100.1196,
ABD,2023-07-01,3.5,304.609,100.9067,
ABD,2023-08-01,3.7,306.082,100.8393,
ABD,2023-09-01,3.7,307.276,101.0211,
ABD,2023-10-01,3.9,307.696,100.4689,
ABD,2023-11-01,3.7,308.148,100.8639,
ABD,2023-12-01,3.8,308.741,100.6031,
ABD,2024-01-01,3.7,309.698,99.2223,
ABD,2024-02-01,3.9,310.967,100.285,
ABD,2024-03-01,3.9,312.345,100.4575,
ABD,2024-04-01,3.9,313.023,100.2434,
ABD,2024-05-01,3.9,313.175,100.863,
ABD,2024-06-01,4.1,313.044,100.894,
ABD,2024-07-01,4.2,313.569,99.9757,
ABD,2024-08-01,4.2,314.062,100.4309,
ABD,2024-09-01,4.1,314.732,99.8084,
ABD,2024-10-01,4.1,315.631,99.4695,
ABD,2024-11-01,4.2,316.528,99.2925,
ABD,2024-12-01,4.1,317.604,100.3273,
Almanya,2000-01-01,8.2,75.392251,79.15593,3.343143
Almanya,2000-02-01,8.1,75.480739,80.89562,3.536762
Almanya,2000-03-01,8.1,75.480739,80.79897,3.747043
Almanya,2000-04-01,8.0,75.480739,81.95876,3.925278
Almanya,2000-05-01,8.0,75.392251,83.89175,4.362045
Almanya,2000-06-01,8.0,75.746205,81.47552,4.501727
Almanya,2000-07-01,7.9,76.100159,83.50516,4.582905
Almanya,2000-08-01,7.9,75.923182,83.9884,4.777087
Almanya,2000-09-01,7.9,76.100159,84.08505,4.85281
Almanya,2000-10-01,7.8,76.011671,83.7951,5.041273
Almanya,2000-11-01,7.8,76.100159,84.1817,5.091955
Almanya,2000-12-01,7.7,76.719579,84.5683,4.939158
Almanya,2001-01-01,7.7,76.454113,84.27835,4.770727
Almanya,2001-02-01,7.7,76.896556,85.24484,4.7558
Almanya,2001-03-01,7.6,76.896556,84.1817,4.708636
Almanya,2001-04-01,7.6,77.25051,83.11855,4.682
Almanya,2001-05-01,7.7,77.515976,83.89175,4.636682
Almanya,2001-06-01,7.7,77.604465,83.7951,4.453571
Almanya,2001-07-01,7.8,77.692953,81.66882,4.467136
Almanya,2001-08-01,7.8,77.515976,83.89175,4.353522
Almanya,2001-09-01,7.9,77.515976,82.73196,3.98285
Almanya,2001-10-01,8.0,77.427488,81.18557,3.59987
Almanya,2001-11-01,8.0,77.25051,80.41237,3.385682
Almanya,2001-12-01,8.1,77.958419,81.28222,3.344889
Almanya,2002-01-01,8.1,78.046907,81.08892,3.338773
Almanya,2002-02-01,8.2,78.312373,81.28222,3.3571
Almanya,2002-03-01,8.2,78.48935,81.76546,3.3908
Almanya,2002-04-01,8.3,78.400862,81.95876,3.406905
Almanya,2002-05-01,8.4,78.48935,81.28222,3.467136
Almanya,2002-06-01,8.5,78.48935,82.92525,3.464
Almanya,2002-07-01,8.6,78.577839,81.66882,3.41
Almanya,2002-08-01,8.7,78.48935,83.40851,3.351909
Almanya,2002-09-01,8.9,78.48935,82.63531,3.310143
Almanya,2002-10-01,9.0,78.400862,81.95876,3.261261
Almanya,2002-11-01,9.1,78.135396,83.0219,3.124143
Almanya,2002-12-01,9.2,78.843304,81.66882,2.94105
Almanya,2003-01-01,9.4,78.843304,82.44201,2.831818
Almanya,2003-02-01,9.5,79.285747,82.73196,2.68745
Almanya,2003-03-01,9.6,79.374236,82.73196,2.529952
Almanya,2003-04-01,9.7,79.10877,82.44201,2.53335
Almanya,2003-05-01,9.7,78.931793,81.95876,2.400524
Almanya,2003-06-01,9.8,79.197259,81.47552,2.151857
Almanya,2003-07-01,9.8,79.374236,83.0219,2.130043
Almanya,2003-08-01,9.8,79.374236,81.37887,2.140429
Almanya,2003-09-01,9.8,79.285747,80.89562,2.147318
Almanya,2003-10-01,9.8,79.285747,83.11855,2.143565
Almanya,2003-11-01,9.8,79.10877,83.69846,2.15905
Almanya,2003-12-01,9.8,79.72819,84.08505,2.146333
Almanya,2004-01-01,9.8,79.72819,84.1817,2.089476
Almanya,2004-02-01,10.1,79.905167,84.375,2.07055
Almanya,2004-03-01,10.3,80.170633,83.69846,2.028826
Almanya,2004-04-01,10.3,80.436098,84.9549,2.04875
Almanya,2004-05-01,10.3,80.613076,85.63145,2.085857
Almanya,2004-06-01,10.3,80.613076,84.9549,2.112682
Almanya,2004-07-01,10.3,80.790053,86.11469,2.116045
Almanya,2004-08-01,10.4,80.878541,85.24484,2.114273
Almanya,2004-09-01,10.4,80.701564,85.05154,2.118591
Almanya,2004-10-01,10.5,80.790053,86.11469,2.147333
Almanya,2004-11-01,10.6,80.613076,84.66495,2.170318
Almanya,2004-12-01,10.7,81.497961,84.7616,2.173174
Almanya,2005-01-01,10.7,80.878541,86.59794,2.145429
Almanya,2005-02-01,10.9,81.232495,85.63145,2.13835
Almanya,2005-03-01,10.9,81.58645,86.59794,2.13719
Almanya,2005-04-01,11.2,81.409473,87.17783,2.137238
Almanya,2005-05-01,11.2,81.58645,86.21134,2.125636
Almanya,2005-06-01,11.2,81.674938,87.95103,2.111045
Almanya,2005-07-01,11.2,82.028892,89.11082,2.119429
Almanya,2005-08-01,11.2,82.117381,86.79124,2.132478
Almanya,2005-09-01,11.1,82.20587,88.82088,2.139136
Almanya,2005-10-01,11.0,82.294358,90.46392,2.196619
Almanya,2005-11-01,10.9,82.028892,89.59407,2.360864
Almanya,2005-12-01,10.7,82.648312,89.59407,2.472857
Almanya,2006-01-01,10.6,82.382847,90.56057,2.511682
Almanya,2006-02-01,10.5,82.736801,90.75387,2.60035
Almanya,2006-03-01,10.5,82.736801,89.88402,2.722609
Almanya,2006-04-01,10.3,83.002267,91.72036,2.793778
Almanya,2006-05-01,10.2,83.002267,92.59021,2.889
Almanya,2006-06-01,10.1,83.179244,92.30025,2.985682
Almanya,2006-07-01,10.0,83.533198,93.84665,3.10219
Almanya,2006-08-01,9.9,83.356221,94.3299,3.226478
Almanya,2006-09-01,9.8,83.090755,94.03995,3.335381
Almanya,2006-10-01,9.7,83.179244,93.65335,3.502
Almanya,2006-11-01,9.6,83.179244,95.29639,3.597182
Almanya,2006-12-01,9.4,83.798664,96.16624,3.684211
Almanya,2007-01-01,9.2,83.798664,95.87629,3.751864
Almanya,2007-02-01,9.1,84.152618,96.74613,3.8182
Almanya,2007-03-01,8.9,84.329595,97.22938,3.890909
Almanya,2007-04-01,8.7,84.772038,96.45618,3.975263
Almanya,2007-05-01,8.6,84.772038,98.19588,4.071364
Almanya,2007-06-01,8.5,84.772038,98.38918,4.147762
Almanya,2007-07-01,8.5,85.214481,99.06572,4.216182
Almanya,2007-08-01,8.4,85.125992,99.25902,4.543609
Almanya,2007-09-01,8.4,85.302969,100.1289,4.7417
Almanya,2007-10-01,8.3,85.479946,100.3222,4.687391
Almanya,2007-11-01,8.2,85.922389,100.0322,4.638545
Almanya,2007-12-01,8.1,86.45332,100.9021,4.848368
Almanya,2008-01-01,8.0,86.187855,101.7719,4.481545
Almanya,2008-02-01,7.9,86.541809,101.3853,4.362095
Almanya,2008-03-01,7.8,86.984252,101.2887,4.596368
Almanya,2008-04-01,7.7,86.807275,101.8686,4.7835
Almanya,2008-05-01,7.5,87.338206,99.54897,4.857381
Almanya,2008-06-01,7.4,87.515183,100.6121,4.940524
Almanya,2008-07-01,7.3,88.046114,99.06572,4.961
Almanya,2008-08-01,7.1,87.780649,100.6121,4.96519
Almanya,2008-09-01,7.0,87.69216,98.67912,5.019182
Almanya,2008-10-01,7.0,87.515183,96.64948,5.113087
Almanya,2008-11-01,7.0,87.07274,92.3969,4.2383
Almanya,2008-12-01,7.1,87.426694,89.01418,3.292619
Almanya,2009-01-01,7.1,86.984252,82.82861,2.456524
Almanya,2009-02-01,7.2,87.515183,80.12242,1.94305
Almanya,2009-03-01,7.3,87.338206,80.21907,1.635455
Almanya,2009-04-01,7.4,87.426694,77.80283,1.4223
Almanya,2009-05-01,7.5,87.338206,81.18557,1.2817
Almanya,2009-06-01,7.5,87.603672,82.53866,1.227909
Almanya,2009-07-01,7.6,87.603672,81.57217,0.974957
Almanya,2009-08-01,7.5,87.780649,82.73196,0.860476
Almanya,2009-09-01,7.5,87.515183,86.01804,0.772091
Almanya,2009-10-01,7.4,87.515183,84.375,0.7375
Almanya,2009-11-01,7.2,87.426694,84.85825,0.71619
Almanya,2009-12-01,7.2,88.134603,85.24484,0.712045
Almanya,2010-01-01,7.1,87.603672,86.40464,0.67975
Almanya,2010-02-01,7.0,87.957626,85.53479,0.6617
Almanya,2010-03-01,6.9,88.400069,87.56443,0.644957
Almanya,2010-04-01,6.8,88.488557,89.30412,0.6447
Almanya,2010-05-01,6.7,88.400069,92.20361,0.686524
Almanya,2010-06-01,6.6,88.400069,91.23711,0.727591
Almanya,2010-07-01,6.5,88.577046,91.23711,0.848818
Almanya,2010-08-01,6.4,88.665534,92.3969,0.8955
Almanya,2010-09-01,6.4,88.577046,93.5567,0.8805
Almanya,2010-10-01,6.3,88.665534,95.58634,0.997667
Almanya,2010-11-01,6.2,88.754023,95.00645,1.042045
Almanya,2010-12-01,6.1,89.284954,96.84278,1.021696
Almanya,2011-01-01,6.0,89.107977,96.16624,1.017238
Almanya,2011-02-01,5.9,89.638908,97.13273,1.08675
Almanya,2011-03-01,5.7,90.16984,97.51933,1.175522
Almanya,2011-04-01,5.6,90.16984,97.71263,1.321211
Almanya,2011-05-01,5.6,90.16984,98.67912,1.425091
Almanya,2011-06-01,5.5,90.258328,97.13273,1.488591
Almanya,2011-07-01,5.5,90.435305,100.2255,1.597619
Almanya,2011-08-01,5.4,90.523794,99.45232,1.552087
Almanya,2011-09-01,5.4,90.700771,97.90593,1.536455
Almanya,2011-10-01,5.3,90.700771,99.06572,1.575857
Almanya,2011-11-01,5.2,90.877748,98.38918,1.484682
Almanya,2011-12-01,5.2,91.054725,97.32603,1.426095
Almanya,2012-01-01,5.1,90.966237,97.71263,1.222227
Almanya,2012-02-01,5.1,91.585657,98.09923,1.048286
Almanya,2012-03-01,5.1,92.116588,98.87242,0.858455
Almanya,2012-04-01,5.1,91.939611,97.42268,0.744316
Almanya,2012-05-01,5.1,91.939611,99.06572,0.684909
Almanya,2012-06-01,5.1,91.762634,98.00258,0.658857
Almanya,2012-07-01,5.1,92.116588,98.77577,0.497045
Almanya,2012-08-01,5.0,92.470542,98.96907,0.332391
Almanya,2012-09-01,5.0,92.559031,97.71263,0.2463
Almanya,2012-10-01,5.0,92.559031,96.35954,0.207913
Almanya,2012-11-01,5.0,92.647519,95.68299,0.192
Almanya,2012-12-01,5.0,92.912985,96.16624,0.185474
Almanya,2013-01-01,5.1,92.470542,95.29639,0.204909
Almanya,2013-02-01,5.1,93.001474,95.97294,0.22335
Almanya,2013-03-01,5.0,93.443916,97.71263,0.20605
Almanya,2013-04-01,5.0,93.001474,97.61598,0.208905
Almanya,2013-05-01,5.0,93.355428,96.84278,0.201227
Almanya,2013-06-01,4.9,93.443916,98.58247,0.21025
Almanya,2013-07-01,4.9,93.886359,97.03608,0.221435
Almanya,2013-08-01,4.9,93.886359,98.96907,0.225864
Almanya,2013-09-01,4.9,93.886359,98.67912,0.223238
Almanya,2013-10-01,4.8,93.709382,98.00258,0.225826
Almanya,2013-11-01,4.8,93.886359,99.64562,0.223381
Almanya,2013-12-01,4.8,94.240313,99.83892,0.2735
Almanya,2014-01-01,4.8,93.709382,99.16237,0.292045
Almanya,2014-02-01,4.8,94.151825,99.16237,0.2881
Almanya,2014-03-01,4.8,94.41729,99.45232,0.305333
Almanya,2014-04-01,4.8,94.240313,99.06572,0.32975
Almanya,2014-05-01,4.7,94.151825,98.58247,0.324571
Almanya,2014-06-01,4.7,94.41729,98.67912,0.241429
Almanya,2014-07-01,4.7,94.682756,100.3222,0.205043
Almanya,2014-08-01,4.7,94.682756,96.74613,0.191571
Almanya,2014-09-01,4.7,94.682756,99.16237,0.097091
Almanya,2014-10-01,4.7,94.41729,99.45232,0.082609
Almanya,2014-11-01,4.6,94.41729,99.35567,0.0809
Almanya,2014-12-01,4.6,94.41729,100.9987,0.080905
Almanya,2015-01-01,4.5,93.443916,98.58247,0.062667
Almanya,2015-02-01,4.5,94.107985,99.64562,0.0482
Almanya,2015-03-01,4.5,94.582319,99.64562,0.027182
Almanya,2015-04-01,4.4,95.056654,100.4188,0.0047
