observation_date,MEXCPIALLMINMEI
10-01-07,73.387399999999999523
11-01-07,73.905129999999999768
12-01-07,74.210689999999999600
01-01-08,74.554659999999998377
02-01-08,74.776290000000003033
03-01-08,75.318250000000006139
04-01-08,75.489649999999997476
05-01-08,75.408090000000001396
06-01-08,75.720150000000003843
07-01-08,76.142139999999997713
08-01-08,76.581850000000002865
09-01-08,77.103719999999995593
10-01-08,77.629140000000006694
11-01-08,78.511529999999993379
12-01-08,79.055269999999993047
01-01-09,79.238479999999995584
02-01-09,79.413420000000002119
03-01-09,79.870279999999993947
04-01-09,80.149829999999994357
05-01-09,79.916380000000003747
06-01-09,80.063550000000006435
07-01-09,80.281630000000006930
08-01-09,80.473709999999996967
09-01-09,80.877369999999999095
10-01-09,81.122060000000004720
11-01-09,81.542860000000004561
12-01-09,81.880330000000000723
01-01-10,82.770409999999998263
02-01-10,83.249139999999997030
03-01-10,83.840159999999997353
04-01-10,83.573009999999996467
05-01-10,83.046419999999997685
06-01-10,83.020409999999998263
07-01-10,83.200670000000002346
08-01-10,83.431759999999997035
09-01-10,83.869110000000006266
10-01-10,84.386849999999995475
11-01-10,85.062970000000007076
12-01-10,85.484369999999998413
01-01-11,85.900819999999995957
02-01-11,86.223070000000006985
03-01-11,86.388480000000001269
04-01-11,86.381619999999998072
05-01-11,85.744829999999993220
06-01-11,85.740549999999998931
07-01-11,86.151929999999993015
08-01-11,86.288210000000006517
09-01-11,86.499899999999996680
10-01-11,87.083550000000002456
11-01-11,88.025450000000006412
12-01-11,88.748810000000005971
01-01-12,89.377030000000004861
02-01-12,89.558719999999993888
03-01-12,89.610150000000004411
04-01-12,89.329030000000003042
05-01-12,89.047070000000005052
06-01-12,89.457589999999996166
07-01-12,89.959819999999993456
08-01-12,90.229799999999997340
09-01-12,90.627470000000002415
10-01-12,91.085989999999995348
11-01-12,91.704790000000002692
12-01-12,91.915629999999993061
01-01-13,92.285870000000002733
02-01-13,92.740110000000001378
03-01-13,93.420609999999996376
04-01-13,93.482320000000001414
05-01-13,93.171199999999998909
06-01-13,93.114639999999994302
07-01-13,93.083789999999993370
08-01-13,93.348619999999996821
09-01-13,93.700010000000006016
10-01-13,94.145679999999998699
11-01-13,95.023300000000006094
12-01-13,95.568389999999993734
01-01-14,96.422870000000003188
02-01-14,96.667130000000000223
03-01-14,96.931960000000003674
04-01-14,96.751120000000000232
05-01-14,96.441730000000006839
06-01-14,96.608850000000003888
07-01-14,96.874529999999992924
08-01-14,97.222499999999996589
09-01-14,97.651889999999994529
10-01-14,98.191829999999995948
11-01-14,98.983750000000000568
12-01-14,99.468840000000000146
01-01-15,99.378849999999999909
02-01-15,99.567409999999995307
03-01-15,99.972790000000003374
04-01-15,99.713960000000000150
05-01-15,99.216009999999997149
06-01-15,99.382279999999994402
07-01-15,99.527979999999999450
08-01-15,99.737949999999997885
09-01-15,100.111599999999995703
10-01-15,100.626699999999999591
11-01-15,101.176100000000005252
12-01-15,101.588300000000003820
01-01-16,101.975700000000003342
02-01-16,102.422200000000003683
03-01-16,102.573099999999996612
04-01-16,102.248300000000000409
05-01-16,101.792299999999997340
06-01-16,101.904600000000002069
07-01-16,102.170299999999997453
08-01-16,102.458200000000005048
09-01-16,103.083899999999999864
10-01-16,103.709500000000005571
11-01-16,104.520300000000005980
12-01-16,105.001999999999995339
01-01-17,106.787199999999998568
02-01-17,107.404300000000006321
03-01-17,108.063400000000001455
04-01-17,108.196200000000004593
05-01-17,108.066800000000000637
06-01-17,108.338499999999996248
07-01-17,108.748199999999997090
08-01-17,109.285499999999998977
09-01-17,109.627499999999997726
10-01-17,110.317400000000006344
11-01-17,111.454700000000002547
12-01-17,112.113799999999997681
01-01-18,112.709500000000005571
02-01-18,113.138900000000006685
03-01-18,113.504800000000003024
04-01-18,113.120000000000004547
05-01-18,112.936599999999998545
06-01-18,113.372799999999998022
07-01-18,113.980500000000006366
08-01-18,114.645499999999998408
09-01-18,115.130300000000005411
10-01-18,115.727000000000003865
11-01-18,116.711500000000000909
12-01-18,117.529499999999998749
01-01-19,117.629900000000006344
02-01-19,117.596800000000001774
03-01-19,118.049800000000004729
04-01-19,118.112499999999997158
05-01-19,117.772499999999993747
06-01-19,117.847800000000006548
07-01-19,118.290499999999994429
08-01-19,118.271100000000004115
09-01-19,118.581400000000002137
