observation_date,GüneyKore_SURETIM
02-01-09,71.08900
03-01-09,73.78092
04-01-09,76.25259
05-01-09,76.82077
06-01-09,79.76273
07-01-09,81.80667
08-01-09,82.31313
09-01-09,85.87540
10-01-09,84.33580
11-01-09,85.34447
12-01-09,86.37974
01-01-10,87.94807
02-01-10,88.59924
03-01-10,90.43358
04-01-10,91.61568
05-01-10,92.16577
06-01-10,92.45518
07-01-10,93.15316
08-01-10,92.35622
09-01-10,92.86375
10-01-10,94.19907
11-01-10,94.32782
12-01-10,95.83550
01-01-11,98.78598
02-01-11,95.79613
03-01-11,98.19120
04-01-11,96.77821
05-01-11,97.19104
06-01-11,97.96138
07-01-11,98.09332
08-01-11,97.36128
09-01-11,97.82412
10-01-11,100.11600
11-01-11,97.78795
12-01-11,96.07278
01-01-12,98.28590
02-01-12,102.19180
03-01-12,99.03495
04-01-12,100.18830
05-01-12,100.60970
06-01-12,98.71788
07-01-12,98.06778
08-01-12,96.15683
09-01-12,97.45811
10-01-12,100.00530
11-01-12,100.59900
12-01-12,100.65330
01-01-13,102.11100
02-01-13,100.02550
03-01-13,98.94345
04-01-13,99.66697
05-01-13,99.09028
06-01-13,99.12859
07-01-13,98.27313
08-01-13,99.52652
09-01-13,97.79646
10-01-13,101.12890
11-01-13,100.04260
12-01-13,101.45560
01-01-14,102.06840
02-01-14,101.46410
03-01-14,102.16840
04-01-14,102.49720
05-01-14,99.07219
06-01-14,101.56300
07-01-14,102.34190
08-01-14,98.37634
09-01-14,98.03799
10-01-14,98.17311
11-01-14,98.44869
12-01-14,100.97780
01-01-15,99.13390
02-01-15,100.58090
03-01-15,99.48502
04-01-15,100.32660
05-01-15,97.71879
06-01-15,99.33926
07-01-15,98.68703
08-01-15,100.91080
09-01-15,102.13330
10-01-15,101.52050
11-01-15,100.53730
12-01-15,99.67973
01-01-16,99.98404
02-01-16,101.08530
03-01-16,101.88650
04-01-16,100.44580
05-01-16,103.17280
06-01-16,102.53230
07-01-16,102.13230
08-01-16,100.81720
09-01-16,101.07460
10-01-16,100.41920
11-01-16,105.07000
12-01-16,103.82300
01-01-17,106.57130
02-01-17,105.34870
03-01-17,107.02880
04-01-17,105.03590
05-01-17,105.45940
06-01-17,103.44420
07-01-17,104.53690
08-01-17,104.04750
09-01-17,105.16780
10-01-17,105.40090
11-01-17,105.63810
12-01-17,103.39100
01-01-18,105.42960
02-01-18,106.05630
03-01-18,104.45180
04-01-18,107.54590
05-01-18,108.11190
06-01-18,107.36290
07-01-18,107.90440
08-01-18,108.31840
09-01-18,106.16270
10-01-18,108.46310
11-01-18,106.15840
12-01-18,103.99960
01-01-19,104.99650
02-01-19,101.61300
03-01-19,103.75910
04-01-19,106.80320
05-01-19,105.92750
06-01-19,105.36680
07-01-19,108.13320
08-01-19,106.00420
09-01-19,108.52160
10-01-19,108.35240
11-01-19,108.04810
12-01-19,110.64640
01-01-20,106.71920
02-01-20,103.20800
03-01-20,107.88960
04-01-20,104.59120
05-01-20,96.61116
06-01-20,102.78240
07-01-20,104.48480
08-01-20,106.08080
09-01-20,110.86880
10-01-20,110.33680
11-01-20,111.08160
12-01-20,112.14560
01-01-21,112.46480
02-01-21,115.76320
03-01-21,113.95440
04-01-21,113.42240
05-01-21,112.25200
06-01-21,113.20960
07-01-21,115.12480
08-01-21,116.29520
09-01-21,115.12480
10-01-21,116.72080
11-01-21,117.57200
12-01-21,122.57280
01-01-22,122.78560
02-01-22,121.08320
03-01-22,121.93430
04-01-22,120.01910
05-01-22,117.89120
06-01-22,119.80640
07-01-22,117.46560
08-01-22,114.16720
09-01-22,113.31600
10-01-22,110.97520
11-01-22,110.76240
12-01-22,106.71920
01-01-23,109.16640
02-01-23,108.31520
03-01-23,112.14560
04-01-23,110.97520
05-01-23,114.91200
06-01-23,112.57120
07-01-23,109.59200
08-01-23,115.55040
09-01-23,117.78480
10-01-23,115.76320
11-01-23,117.57200
12-01-23,117.14640
01-01-24,115.44400
02-01-24,118.74240
03-01-24,114.91200
