observation_date,GüneyKore_TUFE
04-01-06,75.90200000000000
05-01-06,76.05000000000000
06-01-06,75.90200000000000
07-01-06,76.19900000000000
08-01-06,76.64500000000000
09-01-06,76.86799999999999
10-01-06,76.49600000000000
11-01-06,76.12500000000000
12-01-06,76.34800000000000
01-01-07,76.49600000000000
02-01-07,77.01700000000000
03-01-07,77.46400000000000
04-01-07,77.76100000000000
05-01-07,77.83600000000000
06-01-07,77.83600000000000
07-01-07,78.13400000000000
08-01-07,78.20800000000000
09-01-07,78.65500000000000
10-01-07,78.80300000000000
11-01-07,78.80300000000000
12-01-07,79.10100000000000
01-01-08,79.47199999999999
02-01-08,79.77100000000000
03-01-08,80.51500000000000
04-01-08,80.96200000000000
05-01-08,81.63000000000000
06-01-08,82.15100000000000
07-01-08,82.74700000000000
08-01-08,82.59800000000000
09-01-08,82.67300000000000
10-01-08,82.59800000000000
11-01-08,82.37500000000000
12-01-08,82.37500000000000
01-01-09,82.45000000000000
02-01-09,83.04500000000000
03-01-09,83.64000000000000
04-01-09,83.86199999999999
05-01-09,83.86199999999999
06-01-09,83.78800000000000
07-01-09,84.08600000000000
08-01-09,84.38400000000000
09-01-09,84.45900000000000
10-01-09,84.23500000000000
11-01-09,84.38400000000000
12-01-09,84.68200000000000
01-01-10,85.35100000000000
02-01-10,85.52300000000000
03-01-10,85.69600000000000
04-01-10,86.04100000000000
05-01-10,86.12800000000000
06-01-10,86.04100000000000
07-01-10,86.21400000000000
08-01-10,86.64700000000001
09-01-10,87.33700000000000
10-01-10,87.33700000000000
11-01-10,86.90600000000001
12-01-10,87.25100000000000
01-01-11,88.28800000000000
02-01-11,88.89200000000000
03-01-11,89.23800000000000
04-01-11,89.32500000000000
05-01-11,89.49700000000000
06-01-11,89.67000000000000
07-01-11,90.10200000000000
08-01-11,90.70699999999999
09-01-11,90.62000000000000
10-01-11,90.44799999999999
11-01-11,90.53400000000001
12-01-11,90.87900000000000
01-01-12,91.24200000000000
02-01-12,91.58799999999999
03-01-12,91.61400000000000
04-01-12,91.60500000000000
05-01-12,91.76900000000001
06-01-12,91.63900000000000
07-01-12,91.43200000000000
08-01-12,91.85500000000000
09-01-12,92.51200000000000
10-01-12,92.33900000000000
11-01-12,92.01100000000000
12-01-12,92.17500000000000
01-01-13,92.72799999999999
02-01-13,93.03800000000000
03-01-13,92.95200000000000
04-01-13,92.82299999999999
05-01-13,92.82299999999999
06-01-13,92.70999999999999
07-01-13,92.90900000000001
08-01-13,93.23800000000000
09-01-13,93.41900000000000
10-01-13,93.13400000000000
11-01-13,93.11600000000000
12-01-13,93.22900000000000
01-01-14,93.73000000000000
02-01-14,93.98000000000000
03-01-14,94.15300000000001
04-01-14,94.21400000000000
05-01-14,94.36900000000000
06-01-14,94.24800000000000
07-01-14,94.38600000000000
08-01-14,94.55100000000000
09-01-14,94.48999999999999
10-01-14,94.20500000000000
11-01-14,94.01500000000000
12-01-14,94.00600000000000
01-01-15,94.64300000000000
02-01-15,94.58700000000000
03-01-15,94.59600000000000
04-01-15,94.62500000000000
05-01-15,94.89000000000000
06-01-15,94.90900000000001
07-01-15,95.08000000000000
08-01-15,95.21299999999999
09-01-15,94.96599999999999
10-01-15,94.96599999999999
11-01-15,94.78600000000000
12-01-15,95.06999999999999
01-01-16,95.23200000000000
02-01-16,95.64000000000000
03-01-16,95.39300000000000
04-01-16,95.57299999999999
05-01-16,95.63000000000000
06-01-16,95.61100000000000
07-01-16,95.43100000000000
08-01-16,95.67700000000001
09-01-16,96.24700000000000
10-01-16,96.37900000000000
11-01-16,96.23699999999999
12-01-16,96.34200000000000
01-01-17,97.36600000000000
02-01-17,97.63200000000001
03-01-17,97.56500000000000
04-01-17,97.44199999999999
05-01-17,97.54600000000001
06-01-17,97.33799999999999
07-01-17,97.49900000000000
08-01-17,98.05800000000001
09-01-17,98.17200000000000
10-01-17,98.07700000000000
11-01-17,97.34699999999999
12-01-17,97.69799999999999
01-01-18,98.10599999999999
02-01-18,98.85500000000000
03-01-18,98.75100000000000
04-01-18,98.93100000000000
05-01-18,98.97900000000000
06-01-18,98.77900000000000
07-01-18,98.59000000000000
08-01-18,99.46200000000000
09-01-18,100.22100000000000
10-01-18,100.04100000000000
11-01-18,99.33000000000000
12-01-18,98.98800000000000
01-01-19,98.88400000000000
02-01-19,99.31100000000001
03-01-19,99.12100000000000
04-01-19,99.48099999999999
05-01-19,99.65200000000000
06-01-19,99.49100000000000
07-01-19,99.18700000000000
08-01-19,99.42500000000000
09-01-19,99.79400000000000
10-01-19,100.04100000000000
11-01-19,99.48099999999999
12-01-19,99.71899999999999
01-01-20,100.09000000000000
02-01-20,100.16000000000000
03-01-20,99.94000000000000
04-01-20,99.50000000000000
05-01-20,99.44000000000000
06-01-20,99.70999999999999
07-01-20,99.63000000000000
08-01-20,100.19000000000000
09-01-20,100.73999999999999
10-01-20,100.18000000000001
11-01-20,100.09000000000000
12-01-20,100.33000000000000
01-01-21,101.04000000000001
02-01-21,101.58000000000000
03-01-21,101.84000000000000
04-01-21,101.98000000000000
05-01-21,102.05000000000000
06-01-21,102.05000000000000
07-01-21,102.26000000000001
08-01-21,102.75000000000000
09-01-21,103.17000000000000
10-01-21,103.34999999999999
11-01-21,103.87000000000000
12-01-21,104.04000000000001
01-01-22,104.69000000000000
02-01-22,105.30000000000000
03-01-22,106.06000000000000
04-01-22,106.84999999999999
05-01-22,107.56000000000000
06-01-22,108.22000000000000
07-01-22,108.73999999999999
08-01-22,108.62000000000000
09-01-22,108.93000000000001
10-01-22,109.20999999999999
11-01-22,109.09999999999999
12-01-22,109.28000000000000
01-01-23,110.09999999999999
02-01-23,110.38000000000000
03-01-23,110.56000000000000
04-01-23,110.80000000000000
05-01-23,111.13000000000000
06-01-23,111.12000000000000
07-01-23,111.20000000000000
08-01-23,112.33000000000000
09-01-23,112.98999999999999
10-01-23,113.37000000000000
11-01-23,112.73999999999999
